variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
old,read,warm,665.3742909999999,0.19,0.04,115441664,1,4,6,114,0,timeout
candidate,read,warm,156.77304200000026,0.17,0.03,114294784,0,0,2,0,0,read
candidate,read,warm,151.4251250000002,0.18,0.03,114573312,0,0,2,0,0,read
old,read,warm,655.3437920000001,0.17,0.03,114491392,1,3,6,114,0,timeout
old,read,warm,649.1191249999997,0.17,0.03,115392512,1,3,6,114,0,timeout
candidate,read,warm,140.06754200000023,0.17,0.03,114196480,0,0,2,0,0,read
candidate,read,warm,150.41408400000046,0.17,0.03,114376704,0,0,2,0,0,read
old,read,warm,658.1792920000007,0.17,0.03,115097600,1,3,6,114,0,timeout
old,read,warm,654.6133749999999,0.17,0.03,115097600,1,3,6,114,0,timeout
candidate,read,warm,148.893959,0.17,0.03,114458624,0,0,2,0,0,read
candidate,read,warm,153.78812500000004,0.16,0.03,114016256,0,0,2,0,0,read
old,read,warm,657.9074580000006,0.17,0.03,115130368,1,3,6,114,0,timeout
old,read,warm,652.7680830000008,0.17,0.03,114900992,1,3,6,114,0,timeout
candidate,read,warm,151.03020800000013,0.17,0.03,114343936,0,0,2,0,0,read
candidate,read,warm,151.3207080000002,0.17,0.03,114376704,0,0,2,0,0,read
old,read,warm,656.21875,0.17,0.03,114933760,1,3,6,114,0,timeout
old,read,warm,656.609708,0.17,0.03,115146752,1,3,6,114,0,timeout
candidate,read,warm,156.29299999999967,0.17,0.03,114327552,0,0,2,0,0,read
candidate,read,warm,162.49774999999863,0.17,0.03,114671616,0,0,2,0,0,read
old,read,warm,652.6244160000006,0.17,0.03,115310592,1,3,6,114,0,timeout
old,read,warm,656.1485410000005,0.17,0.03,115474432,1,3,6,114,0,timeout
candidate,read,warm,151.6513329999998,0.17,0.03,114245632,0,0,2,0,0,read
candidate,read,warm,153.4640419999996,0.17,0.03,114081792,0,0,2,0,0,read
old,read,warm,652.0029169999998,0.17,0.03,114720768,1,3,6,114,0,timeout
old,read,warm,657.2964579999989,0.17,0.03,114802688,1,3,6,114,0,timeout
candidate,read,warm,151.39650000000074,0.17,0.03,114376704,0,0,2,0,0,read
candidate,read,warm,151.56454099999974,0.17,0.03,115081216,0,0,2,0,0,read
old,read,warm,656.4887920000001,0.17,0.03,115032064,1,3,6,114,0,timeout
old,read,warm,640.6722499999996,0.17,0.03,114622464,1,3,6,114,0,timeout
candidate,read,warm,152.49595799999952,0.17,0.03,114245632,0,0,2,0,0,read
candidate,read,warm,143.99170799999956,0.17,0.03,114098176,0,0,2,0,0,read
old,read,warm,656.7729589999999,0.17,0.03,115113984,1,3,6,114,0,timeout
old,read,warm,657.8787080000002,0.18,0.03,115146752,1,3,6,114,0,timeout
candidate,read,warm,147.79099999999926,0.18,0.03,115064832,0,0,2,0,0,read
candidate,read,warm,158.60000000000036,0.18,0.03,114671616,0,0,2,0,0,read
old,read,warm,668.3051670000004,0.18,0.03,115851264,1,3,6,114,0,timeout
old,read,warm,665.8590409999979,0.18,0.03,115212288,1,3,6,114,0,timeout
candidate,read,warm,164.74245900000096,0.18,0.03,114245632,0,0,2,0,0,read
candidate,read,warm,152.58599999999933,0.18,0.03,114442240,0,0,2,0,0,read
old,read,warm,668.7543330000008,0.18,0.03,115113984,1,3,6,114,0,timeout
old,read,warm,653.7382909999978,0.17,0.03,114884608,1,3,6,114,0,timeout
candidate,read,warm,150.88275000000067,0.17,0.03,114245632,0,0,2,0,0,read
candidate,read,warm,155.10366599999907,0.17,0.03,114163712,0,0,2,0,0,read
old,read,warm,659.1860420000012,0.17,0.03,115212288,1,3,6,114,0,timeout
old,read,warm,655.3724999999977,0.16,0.03,114262016,1,3,6,114,0,timeout
candidate,read,warm,155.16812500000015,0.17,0.03,113852416,0,0,2,0,0,read
candidate,read,warm,155.55220799999734,0.17,0.03,114556928,0,0,2,0,0,read
old,read,warm,656.8304580000004,0.17,0.03,115064832,1,3,6,114,0,timeout
old,read,warm,659.2452090000006,0.17,0.03,114900992,1,3,6,114,0,timeout
candidate,read,warm,157.1735410000001,0.17,0.03,114655232,0,0,2,0,0,read
candidate,read,warm,154.3277080000007,0.17,0.03,114507776,0,0,2,0,0,read
old,read,warm,660.1287080000002,0.17,0.03,115294208,1,3,6,114,0,timeout
old,read,warm,641.3321660000001,0.17,0.03,114835456,1,3,6,114,0,timeout
candidate,read,warm,153.32741600000008,0.17,0.03,114606080,0,0,2,0,0,read
candidate,read,warm,144.7885000000024,0.17,0.03,114458624,0,0,2,0,0,read
old,read,warm,654.1432920000007,0.17,0.03,114851840,1,3,6,114,0,timeout
old,read,warm,657.0784160000003,0.17,0.03,115048448,1,3,6,114,0,timeout
candidate,read,warm,137.51666699999987,0.17,0.03,114524160,0,0,2,0,0,read
candidate,read,warm,145.1609580000004,0.17,0.03,114655232,0,0,2,0,0,read
old,read,warm,660.6671669999996,0.17,0.03,114966528,1,3,6,114,0,timeout
old,disabled,warm,156.57083299999795,0.18,0.03,114802688,0,0,2,111,0,disabled
candidate,disabled,warm,153.36675000000105,0.18,0.03,114311168,0,0,2,0,0,disabled
candidate,disabled,warm,166.06795799999963,0.18,0.03,114540544,0,0,2,0,0,disabled
old,disabled,warm,152.95745800000077,0.17,0.03,114950144,0,0,2,111,0,disabled
old,disabled,warm,167.4014160000006,0.19,0.04,115720192,0,0,2,111,0,disabled
