variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
candidate,write,warm,1586.4905830000062,1.92,0.3,455671808,1,3,7,0,0,diagnostic
old,write,warm,650.1995000000024,0.17,0.03,119439360,1,3,6,114,0,timeout
old,write,warm,650.3903750000027,0.17,0.03,119357440,1,3,6,114,0,timeout
candidate,write,warm,1620.0979169999991,1.93,0.3,462798848,1,3,7,0,0,diagnostic
candidate,write,warm,1585.5908750000017,1.92,0.3,462536704,1,3,7,0,0,diagnostic
old,write,warm,643.1422079999975,0.17,0.03,119160832,1,3,6,114,0,timeout
old,write,warm,648.1229590000003,0.17,0.03,119422976,1,3,6,114,0,timeout
candidate,write,warm,1624.248833000005,1.93,0.3,455524352,1,3,7,0,0,diagnostic
candidate,write,warm,1581.051916000004,1.92,0.3,454705152,1,3,7,0,0,diagnostic
old,write,warm,650.606375000003,0.17,0.03,119455744,1,3,6,114,0,timeout
old,write,warm,648.2939579999947,0.17,0.03,119324672,1,3,6,114,0,timeout
candidate,write,warm,1616.6521249999932,1.92,0.3,454606848,1,3,7,0,0,diagnostic
candidate,write,warm,1581.6550839999982,1.92,0.3,454836224,1,3,7,0,0,diagnostic
old,write,warm,649.3085419999989,0.17,0.03,119554048,1,3,6,114,0,timeout
old,write,warm,648.9093329999887,0.17,0.03,119259136,1,3,6,114,0,timeout
candidate,write,warm,1615.502375000011,1.91,0.3,455688192,1,3,7,0,0,diagnostic
candidate,write,warm,1596.00720800001,1.94,0.31,455999488,1,3,7,0,0,diagnostic
old,write,warm,660.3755410000012,0.18,0.03,119095296,1,3,6,114,0,timeout
old,write,warm,646.367167000004,0.17,0.03,119242752,1,3,6,114,0,timeout
candidate,write,warm,1658.6338329999999,1.94,0.32,465240064,1,3,7,0,0,diagnostic
candidate,write,warm,1591.0897090000071,1.93,0.3,462684160,1,3,7,0,0,diagnostic
old,write,warm,653.3903750000027,0.17,0.03,119373824,1,3,6,114,0,timeout
old,write,warm,652.1742499999964,0.17,0.03,119193600,1,3,6,114,0,timeout
candidate,write,warm,1620.216625000001,1.94,0.31,454737920,1,3,7,0,0,diagnostic
